,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
runaway,,,1.0,,,,2.0,,,,,,,,,4.0,,,7.0,,7.0,,,,,,,,,,,,,,,,,21.0
ride,,,1.0,5.0,,1.0,,9.0,6.0,5.0,12.0,,,,,8.0,1.0,5.0,,6.0,,,4.0,2.0,,1.0,4.0,,,,2.0,,21.0,,,6.0,3.0,102.0
mansions,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
suicide,,,2.0,,,2.0,,13.0,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
machines,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0
sprung,,,1.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,5.0
cages,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
chrome,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
wheeled,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fuel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
injected,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
steppin',,,1.0,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,5.0
rips,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
trap,,,2.0,,,,,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,35.0
rap,,,1.0,,,4.0,1.0,5.0,2.0,,28.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,2.0,47.0
tramps,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
wendy,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
guard,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
visions,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
velvet,,,1.0,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0
rims,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
strap,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0
engines,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
drop,,,1.0,2.0,2.0,4.0,10.0,12.0,2.0,7.0,7.0,,,,,2.0,,,28.0,1.0,28.0,,,,,,,4.0,1.0,,2.0,,,,1.0,,,114.0
wire?,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
scared,,,1.0,,8.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,35.0
rider,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
wild,,,1.0,4.0,4.0,,,1.0,,1.0,,,1.0,36.0,,3.0,,,,,,,,3.0,20.0,,1.0,,,,,,,,,,2.0,77.0
palace,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,31.0
hemi-powered,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
drones,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
boulevard,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,5.0
comb,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
rearview,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
amusement,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
stark,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
huddled,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
mist,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
everlasting,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0
highways,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
jammed,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
heroes,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sadness,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,9.0
madness,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0
-,,,1.0,1.0,17.0,18.0,1.0,28.0,28.0,1.0,5.0,,40.0,,1.0,,,,,40.0,,,,,,,7.0,720.0,,,11.0,12.0,,4.0,10.0,,1.0,946.0
album,,,1.0,1.0,3.0,1.0,14.0,,1.0,6.0,9.0,7.0,3.0,,12.0,17.0,,2.0,7.0,,7.0,21.0,,8.0,5.0,,,,1.0,5.0,4.0,,,,15.0,,,150.0
tennille's,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
greatest,,,1.0,1.0,,,,2.0,,,,7.0,2.0,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,17.0
hits,,,1.0,,2.0,4.0,1.0,6.0,,,,7.0,112.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,3.0,6.0,,146.0
composer,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
toni,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tennille,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
drew,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
circle,,,33.0,,,1.0,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,41.0
shut,,,1.0,1.0,,2.0,1.0,4.0,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,13.0
lov,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
he'd,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
locking,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
spin,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,3.0,19.0
fears,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,11.0
raining,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
meantime,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.0
south,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,8.0
dixie,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,31.0
double,,,1.0,,4.0,3.0,2.0,6.0,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,3.0,26.0
alright,,,3.0,21.0,15.0,12.0,7.0,5.0,,7.0,,,25.0,37.0,,4.0,,4.0,,,,,,,,3.0,,,,,1.0,,16.0,,1.0,6.0,1.0,168.0
jazz,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
competition,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
places,,,2.0,,,3.0,9.0,,,1.0,3.0,,3.0,1.0,,2.0,3.0,,,,,,,,,,3.0,,,,,1.0,,,,6.0,,37.0
blowin',,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
london,,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
george,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,9.0
chords,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0
strictly,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
left-handed,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
afford,,,1.0,,,,3.0,3.0,,,,,7.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,16.0
gets,,,1.0,2.0,3.0,7.0,2.0,,,1.0,1.0,,,,3.0,1.0,24.0,,,,,,2.0,6.0,,,,1.0,,,,,7.0,,,,,61.0
harry,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
scene,,,1.0,1.0,2.0,,,,2.0,,,,,,,5.0,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,16.0
daytime,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,7.0
–,,,2.0,,66.0,,,,,,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,81.0
honky,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tonk,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
saving,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sultans,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
fooling,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
corner,,,1.0,,,,7.0,1.0,,,,,,16.0,,,,,,,,,,,,5.0,,,,,,,7.0,,,,,37.0
drunk,,,1.0,,,,4.0,11.0,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,2.0,24.0
brown,,,1.0,,13.0,8.0,3.0,,,7.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,13.0,,,50.0
baggies,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
platform,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
soles,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
damn,,,1.0,1.0,7.0,7.0,4.0,25.0,7.0,1.0,11.0,,2.0,2.0,,2.0,,,,,,,,,,,,22.0,,,4.0,,,,,12.0,,108.0
trumpet,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0
steps,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0
microphone,,,1.0,,,,,,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
says,,,2.0,5.0,8.0,1.0,3.0,1.0,,,6.0,,5.0,1.0,,,,,,,,,8.0,,,3.0,,,,1.0,3.0,,,,,,3.0,50.0
bell,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,11.0,,,,,,8.0,,,,,,,,23.0
rings,,,1.0,,,2.0,10.0,,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,19.0
"""goodnight",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"home""",,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0
"swing""",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
motto's,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
everything's,,,1.0,,,,,,,1.0,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,8.0
clearer,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,9.0
you's,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
workin',,,2.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,2.0,,,,,19.0,,,,,,,,,,27.0
rubbin',,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,5.0
sticks,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,12.0
sparks,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
ignite,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
exciting,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
rockets,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
polite,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
skyrockets,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
flight!,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
delight!,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
'fore,,,1.0,1.0,,,,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
goin’,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
a',,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
lookin',,,3.0,8.0,,8.0,2.0,5.0,,3.0,2.0,,,3.0,5.0,13.0,,,,,,,7.0,,,,1.0,20.0,,,6.0,,,,,,,86.0
slipping,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
schoolbag,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
early,,,2.0,1.0,2.0,,,,,,,7.0,2.0,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,22.0
waving,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
absent-minded,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
surge,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
losing,,,1.0,2.0,3.0,7.0,2.0,,7.0,6.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,3.0,,,36.0
entering,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0
capture,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
mind?,,,2.0,,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
breakfast,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,7.0,,,,2.0,,,,,,,,,,14.0
table,,,1.0,,,,1.0,,3.0,2.0,,,,,,1.0,,,7.0,,7.0,,,,,,,,,,1.0,,2.0,,,,,25.0
awake,,,1.0,1.0,,4.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,15.0
precious,,,1.0,,,2.0,,2.0,,5.0,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,15.0
odd,,,1.0,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,13.0
melancholy,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,10.0
sense,,,1.0,1.0,1.0,4.0,2.0,,3.0,,3.0,,,,,8.0,,,,,,,,,,,,,3.0,,,,,5.0,,,,31.0
guilt,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0
deny,,,1.0,,1.0,1.0,3.0,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,13.0
adventures,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
planned,,,1.0,,,3.0,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,10.0
freeze,,,1.0,1.0,1.0,,,,,2.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,5.0,,,13.0
tricks,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
shouldn't,,,1.0,5.0,3.0,8.0,12.0,8.0,,,,,,,,2.0,,,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,45.0
"mean""",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
acting,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
stands,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,7.0
jekyll,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
hyde,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
rainy,,,4.0,,,,,,,1.0,,,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,10.0
gloomy,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,6.0
moods,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
inspiration,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0
combination,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
post-chorus,,,3.0,1.0,,6.0,20.0,9.0,3.0,13.0,,,,,14.0,2.0,,10.0,,,,,,10.0,4.0,,4.0,,,,,,,,2.0,,,101.0
unique,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
everyone's,,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,12.0
toyed,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ideas,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
dr.,,,1.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,23.0
freud,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
applies,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
explanation,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
split,,,1.0,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0
identity,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
pleasing,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
point,,,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,4.0,,1.0,,1.0,,,,,,2.0,,4.0,,,2.0,,,,,,,22.0
view,,,1.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,11.0
you’ve,,,5.0,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,10.0
learned,,,1.0,,10.0,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,22.0
concern,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
sacrifice,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0
rejoice,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
you’ll,,,2.0,,,,1.0,,,,3.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,13.0
seek,,,2.0,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,9.0
within,,,2.0,2.0,2.0,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,10.0
conceived,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
sacrificed,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
price,,,2.0,1.0,1.0,,,6.0,,1.0,,,,,,1.0,3.0,,,,,,,21.0,,2.0,,,,,,,,,,,,38.0
grew,,,3.0,,,2.0,1.0,9.0,2.0,,,,,,,,,,,,,,9.0,,,1.0,1.0,,,,,1.0,,,,,,29.0
indiana,,,3.0,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,12.0
moved,,,1.0,1.0,1.0,,10.0,1.0,2.0,,,,,,,,,,28.0,,28.0,,5.0,,,,,,,,,,,,,,,77.0
age,,,1.0,,,2.0,,,1.0,,,,12.0,,,1.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,21.0
eighteen,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0
blew,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,12.0
groovin',,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0
"on""",,,1.0,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,9.0
jane,,,3.0,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,12.0
creepin',,,3.0,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,12.0
screwin',,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0
dress,,,2.0,1.0,1.0,6.0,2.0,,,,,,2.0,,,3.0,,,,7.0,,,6.0,,,,,19.0,,,,,,,1.0,,,50.0
pigeons,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0
market,,,1.0,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,5.0
square,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,5.0
standin',,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,5.0
underwear,,,1.0,,,,,,1.0,,12.0,,5.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,23.0
hotel,,,1.0,,,4.0,2.0,,1.0,,,,,,,1.0,,,,,,,3.0,,,,,,,,2.0,,,,,,,14.0
nightfall,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0
comin',,,1.0,,,1.0,1.0,5.0,,2.0,,,,,,1.0,,,,,,,3.0,,,,,5.0,,,1.0,,,,,,,20.0
woke,,,1.0,,1.0,,2.0,1.0,,1.0,,,7.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,21.0
number,,,3.0,11.0,2.0,3.0,,2.0,1.0,1.0,,,1.0,,2.0,,,,,,,1.0,3.0,,,,,,,,2.0,,,,,,5.0,37.0
cheap,,,1.0,,,,,,,,,,,,,,12.0,,,1.0,,,,,2.0,,,,,,,,7.0,,,,48.0,71.0
trick,,,1.0,5.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,1.0,,1.0,,7.0,,,,,19.0
color,,,1.0,1.0,1.0,,2.0,,2.0,,12.0,,6.0,,4.0,,,,,,,,,,,,,,,,2.0,,14.0,,,,,45.0
haven't,,,1.0,2.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,5.0,,,,2.0,,,,,,16.0
lyrics,,,2.0,,,1.0,1.0,1.0,3.0,,12.0,,,,7.0,4.0,,2.0,,,,,5.0,,,,,,,14.0,,,,,15.0,,,67.0
song.,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
add,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
users.,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"""correct"".",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
thanks,,,1.0,,,6.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,18.0
hallelujah,,,16.0,,,,1.0,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,56.0
mmmmm,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
hare,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
krishna,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
oohh..,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
rama,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
gurur,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
brahma,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
vishnu,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
devo,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
maheshwara,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sakshaat,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
parabrahma,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tasmayi,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
shree,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
guruve,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
namah,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
untrue,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
whether,,,7.0,5.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,17.0
baby?,,,1.0,,1.0,1.0,3.0,,1.0,2.0,,,8.0,,12.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,34.0
jewelry,,,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,10.0
diamonds,,,2.0,3.0,,4.0,,8.0,2.0,2.0,,,38.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,62.0
attacks,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,7.0
others,,,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,14.0
zuma,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
half,,,14.0,1.0,,6.0,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,12.0,4.0,2.0,,,,,,44.0
shirt,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,9.0
lethal,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
dose,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
cartier,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
