,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
oh,24.0,39.0,50.0,52.0,56.0,236.0,150.0,50.0,45.0,152.0,6.0,,91.0,68.0,8.0,27.0,12.0,,25.0,100.0,25.0,14.0,24.0,,2.0,12.0,4.0,6.0,22.0,6.0,2.0,4.0,,30.0,10.0,116.0,8.0,1476.0
let,12.0,25.0,34.0,31.0,33.0,85.0,45.0,85.0,23.0,68.0,53.0,7.0,49.0,68.0,41.0,76.0,1.0,13.0,11.0,11.0,11.0,18.0,15.0,6.0,1.0,7.0,18.0,4.0,18.0,1.0,5.0,2.0,,15.0,1.0,35.0,13.0,941.0
fills,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,24.0
my,64.0,96.0,236.0,117.0,219.0,285.0,274.0,408.0,152.0,187.0,170.0,44.0,166.0,252.0,77.0,156.0,92.0,23.0,284.0,68.0,284.0,59.0,37.0,81.0,65.0,56.0,11.0,241.0,17.0,90.0,95.0,33.0,83.0,32.0,87.0,79.0,43.0,4763.0
heart,20.0,39.0,14.0,55.0,36.0,28.0,32.0,17.0,4.0,5.0,12.0,,5.0,24.0,20.0,20.0,1.0,7.0,21.0,21.0,21.0,16.0,8.0,,28.0,8.0,14.0,,2.0,,1.0,8.0,,17.0,5.0,41.0,,550.0
pain,3.0,4.0,12.0,4.0,9.0,2.0,3.0,25.0,21.0,,,,8.0,,,,,,1.0,,1.0,,9.0,17.0,1.0,2.0,,,3.0,7.0,4.0,,,,,20.0,,156.0
please,2.0,6.0,11.0,4.0,8.0,15.0,25.0,1.0,,4.0,1.0,,3.0,,2.0,13.0,,,,3.0,,1.0,5.0,7.0,7.0,21.0,3.0,,,,7.0,,,1.0,4.0,10.0,1.0,165.0
stop,5.0,5.0,4.0,16.0,13.0,38.0,17.0,10.0,3.0,2.0,13.0,,28.0,8.0,3.0,9.0,6.0,,7.0,3.0,7.0,,,,8.0,,,19.0,1.0,5.0,4.0,1.0,,3.0,33.0,144.0,6.0,421.0
right,5.0,14.0,31.0,20.0,17.0,76.0,35.0,31.0,15.0,22.0,42.0,,26.0,5.0,9.0,32.0,10.0,3.0,2.0,32.0,2.0,7.0,63.0,6.0,9.0,15.0,7.0,30.0,4.0,,6.0,4.0,30.0,,8.0,6.0,10.0,634.0
away,15.0,21.0,15.0,20.0,27.0,22.0,53.0,17.0,7.0,11.0,,,25.0,7.0,,9.0,1.0,2.0,70.0,1.0,70.0,1.0,40.0,11.0,5.0,7.0,7.0,,,11.0,,2.0,6.0,43.0,3.0,3.0,,532.0
