Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
fuck,,,2,,,7,1,123,28,17,5,,6,,,,,,,,,,,6,,,,10,,,29,,,,1,,,235
just,17,44,96,42,117,183,102,122,70,67,74,,80,43,29,66,45,3,7,19,7,4,32,67,33,16,4,76,29,14,23,14,33,13,56,30,9,1686
chorus,19,23,61,69,94,128,124,121,54,70,43,,119,4,55,51,48,28,30,64,30,9,57,71,37,48,12,63,37,18,15,4,58,17,17,39,72,1809
do,14,52,32,91,212,117,104,120,39,20,53,22,201,36,28,38,28,12,23,46,23,15,3,17,61,3,3,14,4,19,12,5,14,1,22,16,23,1543
is,25,59,89,63,158,114,102,120,54,51,193,,189,89,23,34,60,21,45,78,45,24,6,169,23,37,20,133,7,9,29,27,62,11,13,18,6,2206
it's,31,36,85,91,147,111,59,118,59,37,35,,132,68,40,31,39,4,32,15,32,4,93,13,48,17,6,50,7,2,13,10,37,23,12,66,27,1630
thank,,,,,5,,6,112,,,6,,,,,,,,,2,,1,,,,,4,,,,,4,,,6,2,,148
she,10,31,38,18,54,29,33,108,18,9,4,,19,26,,122,,1,28,8,28,,37,1,,4,2,51,1,,22,11,,45,1,4,7,770
verse,23,46,83,53,69,122,92,105,46,52,59,,119,30,52,43,55,21,20,85,20,6,42,67,25,52,5,53,27,52,15,4,55,17,21,46,68,1750
can't,23,30,16,28,55,76,38,104,11,17,22,22,40,23,16,8,6,5,,27,,13,13,84,15,8,3,57,3,1,6,5,,6,22,2,4,809
taste,3,2,,,1,3,3,100,1,8,,,,,24,,,,,,,,,17,,,,,,,,,,,,6,,168
when,30,44,59,79,62,73,141,96,35,23,74,,94,11,21,57,12,7,25,34,25,27,25,7,25,25,4,78,8,14,16,27,15,49,5,10,11,1348
want,10,9,34,42,145,93,65,96,29,39,,22,83,68,13,44,10,32,47,21,47,,18,3,8,5,,24,2,6,9,2,4,10,6,9,15,1070
can,27,19,43,46,107,103,75,88,20,33,28,,56,31,36,50,18,,8,20,8,3,1,24,51,12,7,32,8,12,14,4,9,28,6,120,6,1153
they,6,23,69,40,52,52,45,86,39,27,28,,27,7,17,10,28,5,,11,,6,15,7,8,18,8,74,11,22,34,1,,4,1,9,14,804
shit,,,4,10,1,4,10,86,42,2,49,,4,,,3,3,,,,,3,,3,,,,39,2,,27,,,,,,,292
this,22,34,48,117,104,88,80,85,53,31,52,,70,27,38,11,23,6,,33,,7,27,9,13,14,13,26,2,10,52,8,50,,52,97,6,1308
let,12,25,34,31,33,85,45,85,23,68,53,7,49,68,41,76,1,13,11,11,11,18,15,6,1,7,18,4,18,1,5,2,,15,1,35,13,941
out,28,24,41,21,40,68,61,84,15,14,43,,39,61,13,28,52,16,16,15,16,4,36,27,36,12,13,50,17,28,12,16,25,,5,4,37,1017
baby,15,71,47,32,116,95,70,83,87,51,9,,146,5,49,71,14,,130,29,130,1,9,,30,53,,4,2,,2,12,4,15,17,54,,1453
that's,18,11,12,18,53,27,18,79,17,8,6,,29,7,,12,7,1,14,11,14,1,3,,5,6,3,52,,,5,11,4,5,,1,5,463
bitch,,,2,33,,5,,79,19,8,3,,1,,,20,,,,,,,,,10,,,38,,1,24,,,,,,2,245
say,17,10,21,40,43,46,79,77,26,37,48,,86,34,6,42,10,,14,32,14,2,16,21,12,9,8,54,18,,21,9,,11,8,4,6,881
one,8,24,42,33,77,98,45,75,20,54,35,7,53,13,7,81,24,1,38,95,38,10,23,14,5,17,9,68,12,4,13,27,9,12,1,37,19,1148
back,2,10,30,20,28,44,54,74,19,72,45,,5,17,6,6,6,13,21,,21,2,13,2,2,5,5,22,17,,17,7,,,1,2,89,677
was,10,32,53,46,96,87,78,72,20,16,70,,36,16,16,39,,1,130,12,130,1,50,5,2,15,4,22,27,13,35,11,,,6,13,39,1203
llévame,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
niggas,,,,,,4,,69,10,1,2,,,,,1,,,,,,,,,,,,19,5,,8,,,,,,,119
not,2,18,21,27,115,86,45,67,28,12,3,,24,12,11,9,27,1,66,4,66,,5,1,20,10,,26,1,1,12,9,21,,82,5,7,844
about,5,19,23,12,42,25,15,67,7,7,14,,24,14,16,5,5,2,7,30,7,,,,1,,1,19,10,,9,4,,,1,,14,405
them,,4,26,34,19,15,30,66,8,8,8,,2,,5,11,,2,,,,1,14,10,2,3,7,6,8,1,7,1,,,1,8,10,317
see,12,10,38,23,47,42,42,64,22,53,18,,76,83,17,7,10,5,64,7,64,5,2,53,14,6,13,31,5,3,14,5,10,1,22,3,4,895
been,11,13,14,16,45,53,21,63,32,23,31,,5,40,,11,36,7,1,9,1,1,13,14,,7,6,10,6,,8,5,4,,2,12,2,522
took,1,7,6,5,5,5,2,63,3,3,,,2,,,1,,,,,,,8,,6,,,5,1,,1,5,,,3,,,132
nigga,,,2,6,,6,1,62,15,1,3,,,,,2,,,,,,,,,,,,18,2,,24,,,,,,,142
never,8,34,32,33,52,48,100,60,24,21,25,7,59,6,1,73,6,26,126,83,126,14,15,21,16,7,22,55,7,1,13,8,17,12,27,65,4,1254
money,,6,13,2,13,15,9,60,16,2,3,,3,5,,14,,,,,,,1,14,,3,1,21,,,9,,,,,,1,211
'cause,4,10,15,16,31,54,36,59,29,16,60,,2,17,56,8,4,,7,,7,,5,42,3,5,,5,,,6,,,1,33,6,13,550
i've,3,13,12,31,37,23,15,59,24,30,93,,7,31,,2,24,2,14,11,14,5,11,,17,12,,28,3,2,1,14,,,4,6,7,555
from,15,12,27,26,91,42,60,58,43,9,39,7,37,,14,17,2,12,42,2,42,1,22,3,8,12,8,31,11,21,16,4,12,20,30,5,24,825
i'll,5,20,35,45,54,18,66,57,27,13,16,,24,2,33,80,20,15,7,13,7,7,2,42,12,6,,38,8,,4,6,,5,22,73,12,794
'em,,3,2,2,4,33,10,57,7,7,2,,5,,5,19,,,,,,1,,1,,,5,34,,,9,,,,3,,,209
think,5,8,28,19,68,30,25,56,8,12,13,,34,3,17,2,8,1,,17,,1,3,3,10,1,,8,3,,8,10,,,1,,,402
need,8,3,18,21,37,49,53,55,43,20,24,,8,8,2,40,,3,4,6,4,,3,22,2,1,5,29,4,24,7,,,15,4,43,6,571
knew,9,13,10,3,7,7,18,55,,2,,,1,15,1,5,,,,2,,,,,6,3,,,6,,4,12,,,1,,3,183
now,17,17,35,53,105,101,92,52,19,25,47,,29,47,5,46,9,5,85,55,85,2,33,31,7,8,11,8,10,12,13,9,23,3,14,,4,1117
