Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
moving,,,2,2,,6,2,,,1,,,,2,,,,,,6,,,,,,5,,,,,,,,,,12,,38
sweetest,,,1,1,1,5,2,,,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,20
other,5,2,9,10,21,4,2,,3,2,12,,12,,1,6,8,,,12,,,6,1,2,,6,2,2,,3,,,,3,6,,140
somewhere,,1,,8,4,4,2,,,,,,2,,,1,,1,,,,,41,,,1,,,,,,,,,,,,65
shoes,1,1,1,3,2,4,2,,2,2,,,,,1,1,,,,,,,,,,1,,,,,1,2,,,,,3,27
sense,,,1,1,1,4,2,,3,,3,,,,,8,,,,,,,,,,,,,3,,,,,5,,,,31
radio,,1,1,5,,4,2,,,1,1,,,,,,,,7,,7,,,,,,,,3,,,,,,4,,,36
hotel,,,1,,,4,2,,1,,,,,,,1,,,,,,,3,,,,,,,,2,,,,,,,14
taken,,,,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12
blessed,,1,,,3,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,15
changing,,,7,4,,3,2,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,24
oooh,,,,3,,3,2,,,,,,,,,,,,,,,,,,,,4,,4,,,,,30,,,,46
"""you",,3,2,,,3,2,,,,,22,1,,,,,,,2,,,,,,,,,,,2,,,,,,4,41
explain,,,,,1,2,2,,1,1,,,,,,1,,,,,,,4,,3,,,1,,,1,,,,,,,17
it!,,,,1,,2,2,,,,4,,,2,,,,,,2,,,,,,,,,,,,,,,,,,13
natasha,,,,,,2,2,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
beautiful,,4,10,3,6,1,2,,,30,,,3,1,,,,,,,,,,,5,,,,,,1,,4,,2,,,72
nowhere,,,,2,4,1,2,,1,,,,,1,,,,,,,,,4,,,1,,,,,,,,,,,,16
choose,,1,2,6,2,1,2,,,1,,,1,,6,5,,1,,2,,,,,,,,,,,,,,,,,,30
warm,3,6,10,1,2,1,2,,,,,,4,,,,,,,,,,,,,1,,,6,,,,,,,,,36
memories,1,3,,1,2,1,2,,,2,,,,9,,,,,,,,2,,,,,,,,,,,,,1,,,24
pride,,2,,1,2,1,2,,12,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,23
mistakes,,,,,2,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
candy,6,,,,1,1,2,,,,,,,,,2,,,,,,,,,1,,,,6,,1,,,,,,,20
land,,,,2,,1,2,,,,,,,2,1,,,1,,,,,1,9,,,6,,,,,,,2,,2,7,36
horse,,,1,1,,1,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,12
19,,,,1,,1,2,,3,,,,1,,,16,,,,,,,,,5,,,,,,,,,,1,,,30
ive,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
boo,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
cross,,,,,,1,2,,,,,,,2,,,,,,,,,,,,,,4,,,4,,,,9,,,22
roar,,,,,,1,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,13
breaks,,2,1,1,8,,2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,16
each,5,5,9,4,6,,2,,1,4,12,,,5,,2,6,,,10,,,,,,1,6,,2,1,2,6,,15,,,,104
bones,,1,2,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,12
promises,,1,,1,5,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,10
weakness,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
innocent,,,,9,3,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
mountain,,,4,1,3,,2,,,,,,,,1,1,,,,,,,,,,1,,,1,,,1,,,,,,15
strange,,,,1,2,,2,,1,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,10
jesus,,,,1,2,,2,,1,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,12
gospel,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
know...,,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,6
grace,,,,,2,,2,,,,,,,,,,,,,10,,,,,,,,,,,,,,,9,,,23
"""you're",,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
emptiness,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
sorrow,,2,,3,1,,2,,1,,,,8,,,,,,,1,,1,,1,,2,,,,,,,,,,20,,42
ohhhh,,,3,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
parents,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7
ago,,7,2,1,1,,2,,,1,,,,,,,,,,6,,9,1,,,,,,,,,,,,,,,30
color,,,1,1,1,,2,,2,,12,,6,,4,,,,,,,,,,,,,,,,2,,14,,,,,45
devotion,,,,1,1,,2,,,1,,,,,,,,,,,,9,,,,,,,,,1,,,,1,,,16
mind?,,,2,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
darkest,,,1,,1,,2,,,3,,,,,,1,3,,,,,,,7,,,,,,,,,,,,,,18
sacrifice,,,1,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5
remains,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
pain?,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
shed,,,,,1,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5
forest,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,10
waist,,,,,1,,2,,,1,,,,,,,,,14,,14,,,,,,,,,,,,,,,,,32
map,,,,,1,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6
finest,,,1,2,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7
"love""",,3,,2,,,2,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,29
tub,,,,2,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,7
blues,4,2,5,1,,,2,,2,,,,1,,,,,,,,,,,,,,,,,,3,,,,,5,6,31
speed,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,3,26
rocking,,2,,1,,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,10
accept,,,,1,,,2,,,,,,,,,,,1,,14,,,,,,,,,,,2,,,,,,,20
"""my",,,,1,,,2,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,8
battles,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
shadow,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"""in",,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,,,,1,,,2,,2,,,,,,,8,,,,,,,,,5,,,,,,,,,,,,,18
sinking,,,,1,,,2,,,,,,,,,2,,,,,,,,7,,,,,,6,,,,,,,,18
rising,,,,1,,,2,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,8
secret,,1,12,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,21
bye,,,6,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,13
dies,,,4,,,,2,,,,,,14,,,,,,,,,,,,,,,,1,,,,,,,,,21
wendy,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
lovers,,,2,,,,2,,3,1,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,13
gladly,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
puppet,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,7
runaway,,,1,,,,2,,,,,,,,,4,,,7,,7,,,,,,,,,,,,,,,,,21
bell,,,1,,,,2,,,,1,,,,,,,,,,,,,11,,,,,,8,,,,,,,,23
cloud,,,1,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5
chelsea,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
letting,,,,,,,2,,,,,,,,,,,8,,,,,,,2,,,,,,,,,,,1,,13
consuming,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ripping,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5
cuban,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
minks,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
inglewood's,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ya'self,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
wooh,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4
sound?,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
invite,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
sofa,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
cola,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gota,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1d,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
rowdy,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
bacardi,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
lightly,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
f1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gear,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3
grinds,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ed,,,,,,,2,,,,,,,,,,,,6,,6,,2,,,,,,,,,,,,10,,,26
sheeran,,,,,,,2,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,4,,,18
dangerously,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,23
marvin,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5
gaye,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
meghan,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
trainor,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
selena,,,,,,,2,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,6
gomez,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
suffer,,,,,,,2,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,2,,11
shy,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
carter,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,9,,,13
lion,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,12
mixtape,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4
broke-down,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
japanese,,,,,,,2,,1,,,,,,7,12,,,,,,,,,,,,,,,,,,,1,,,23
feeling's,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
overwhelming,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
standard,,,,,,,2,,,1,,,,,7,,,,7,,7,,,,5,,,,,,1,,,,,,,30
nina,,,,,,,2,,,,,,,15,,,,,7,,7,,,,6,,,,,,,,,,,,,37
bloodstream,,,,,,,2,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,16
tenerife,,,,,,,2,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,16
afire,,,,,,,2,,,,,,,,,,,,7,,7,,,,,,8,,,,,,,,,,,24
shirtsleeves,,,,,,,2,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,16
terrace,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
​nobody,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
down​,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
pillowtalk,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
handmade,,,,,,,2,,,,,,,,,,,,14,,14,,,,,,,,,,,,,,,,,30
papercut,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
chronicles,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""maps""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5
"""animals""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""it",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""unkiss",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""sugar""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""leaving",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"california""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"pocket""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""new",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""coming",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""feelings""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"open""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
apologies,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
viii,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
arm•,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
leg•,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"""let",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,21,26
be?,,,,,,,2,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,5
around?,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
day...,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
tinker,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7
storybook,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
hold?,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
legendary,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
unconditionally,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
rainbow,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
spiritual,,,,,,,2,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,7
no-no,,,,,,,2,,1,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7
haunting,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
taunting,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
shouting,,,,,,,2,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,11
woah-oh-oh,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
dodged,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
bullet,,,,,,,2,,,,3,,,,,,,,,,,,,1,,,,,,2,,,,,,,2,10
brady,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
theron,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5
timo,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ghetto,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,5
lighters,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
f.e.m.a,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
mucho,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gasolina,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
arena,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
so-lo,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
mom?,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
verso,,,,,,,2,,12,10,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,30
está,,,,,,,2,,7,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,16
esto,,,,,,,2,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,9
coro,,,,,,,2,,16,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,33
cuello,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
deja,,,,,,,2,,5,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10
diga,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5
cosas,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,6
oído,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5
acuerdes,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
desnudarte,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
besos,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
firmo,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
paredes,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
laberinto,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
hacer,,,,,,,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5
cuerpo,,,,,,,2,,3,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10
manuscrito,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
bailar,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
pelo,,,,,,,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5
ser,,,,,,,2,,2,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,14
ritmo,,,,,,,2,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,11
déjame,,,,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,6
sobrepasar,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
zonas,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
peligro,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4
ven,,,,,,,2,,,2,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,9
sabes,,,,,,,2,,1,4,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,10
tengo,,,,,,,2,,5,7,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,17
kindness,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
yeah-yeah,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
redeem,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4
sucked,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ooooooooh,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
name's,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
prayer,,,,,,,2,,,,,,,4,7,,,,,,,,2,,25,,,,,,,1,,,,,,41
d-down,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
cling,,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,1,,,1,,,,,,12
"""your",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
straight!,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"do.""",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
six-year-old,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
badda-bang-bang-bang,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
sand,,1,,1,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,21
supposed,,,,1,1,11,1,,,,,,2,,,,,,4,,4,,,,3,,,,,,1,,,,,,,28
melody,,,1,1,,11,1,,,,,,,,3,,,,,,,,,,,,,,1,,,4,,,,,,22
understand,3,4,4,7,9,9,1,,5,1,,,7,10,,,,,,1,,,4,,8,,2,19,,,,,,,,,,94
doesn't,1,,3,3,12,8,1,,,,,,9,1,1,,,,,,,,17,,,,,1,,,,1,,,,,,58
hello,,,,,2,8,1,,,1,,,,,,3,,,,1,,9,,,,,,,,,,,,,,,,25
wide,,,4,4,,8,1,,,,,,,,,,,,,,,,16,,,,,,,,,1,,,,,,34
hoping,,,1,1,,8,1,,,1,,,,,,1,,,,,,,,7,,,,,,,,1,,,,,,21
keys,,,,1,2,7,1,,12,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,25
rhythm,,7,2,3,,7,1,,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,25
half,,,14,1,,6,1,,,,,,,,2,,,,,,,,,,2,,,,,12,4,2,,,,,,44
go?,,2,1,,5,5,1,,1,,,,10,,,,,,,,,,,,,,,4,,,,,,,4,,,33
spinning,,1,,,1,5,1,,,,,,,,,,,,,,,,,,3,,,,,,1,7,,,,6,,25
somehow,,1,1,1,9,4,1,,,1,,,,,,,,,,,,,,,6,1,1,,,,,,,,,,,26
funny,,,11,,2,4,1,,,2,,,,,,1,,,,,,,,,,,,,,,,1,,,,6,,28
pass,,,15,9,1,4,1,,,,3,,,,,,,3,,,,,,,,,,,,,,1,,,,2,3,42
waiting,,,5,4,1,4,1,,,2,,,,7,,1,,1,,3,,5,,3,,2,1,,,12,,1,,,,,,53
awake,,,1,1,,4,1,,,5,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,15
messed,,,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,9
tryin',,,,,,4,1,,2,1,14,,12,2,,,,,,4,,,,,,,2,4,,,,,,,,,,46
above,3,4,8,8,8,3,1,,1,,,,6,,,3,,,,,,,,,,3,,,1,,1,2,1,2,,10,,65
kinda,,1,,2,4,3,1,,,,,,,,,3,,,,1,,,2,,,,,,,,6,,,,3,,,26
clothes,1,1,6,2,3,3,1,,1,,,,2,,,1,,,,1,,,,,,1,,,3,4,,1,,,,1,3,35
others,,,2,1,3,3,1,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,,14
heavy,,,1,,2,3,1,,1,7,,,,,,,,,,,,,,6,,,,4,,,,,,,,,,25
tear,,,,4,1,3,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,15
expect,,,,,1,3,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,9
remix,,,,,1,3,1,,12,,,,,,,8,,,,,,,,,,,,1,,,,,,,1,,,27
dis,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
flower,,,,1,,3,1,,,,,,,,,,,,,1,,,,,,,3,,,3,,,2,,,,,14
bright,,2,9,,,3,1,,1,,,,7,,,,1,4,,2,,,6,,,,,,,,,4,,,,,,40
steep,,,,,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5
ending,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
reaching,,,,,,3,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,7
thats,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,7
here's,3,,,,13,2,1,,,,,,18,,,,,,,3,,,,,,,1,,2,,,,,,,6,3,52
loves,,3,1,,8,2,1,,,,,22,,,,,,,,2,,1,,,4,2,,,,,,,,,,,,46
sin,,,,,1,2,1,,9,14,,,2,,,1,,2,,,,,,,,,,,,,7,,,,,,,39
fate,,,,1,,2,1,,,2,,,,,,,,1,,,,,,8,1,,,,,,,1,,,,,2,19
pants,,,1,,,2,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,6
conversations,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
dont,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
chick,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4
popped,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,6
dealt,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4
up!,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5
cigarette,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
lookin,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4
anybody,,,1,2,5,1,1,,1,3,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,22
anyone,,2,1,14,4,1,1,,4,2,,,,,,,,,,,,1,4,,,,,,,,,,2,10,1,,,47
motion,,,,,4,1,1,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,12
we'd,,,1,5,3,1,1,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,15
fears,,,1,1,3,1,1,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,11
beyond,1,1,2,,3,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10
pretend,2,,,,3,1,1,,1,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,13
planet,,,,,2,1,1,,,,,,,,27,,,,,,,,,1,,,,,,6,,,,,,,,38
seems,1,,9,4,1,1,1,,,,3,,,8,,,,,,,,,,,,,2,,2,,2,,,,,,,34
guide,,,3,2,1,1,1,,,,,,8,,,,,,,,,,6,,,,,,,,,,,,,,,22
sees,,2,,,1,1,1,,,,1,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,10
conversation,3,,,,1,1,1,,,,,,,,,,,,7,,7,,,,,1,,,,,,,,,,,,21
ohh,,1,13,4,,1,1,,2,1,3,,,,,,,,,,,,,,,,2,,,,5,,,,,6,,39
+,,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,2,,,17
he'll,1,,,2,,1,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,11
sadness,,,2,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,9
