,song_title,artist_name,ids
0,The Works,Queen,39MMaY4ampwjkSOFahHnKi
1,Stranger Things (Soundtrack from the Netflix Original Series),The Police,0CTCk1eshEadFqZ4NBfe9N
2,An Innocent Man,Billy Joel,3R3x4zIabsvpD3yxqLaUpc
3,Hunting High And Low,a-ha,1ER3B6zev5JEAaqhnyyfbf
4,Toto IV,Toto,62U7xIHcID94o20Of5ea4D
5,"Hello, I Must Be Going",Phil Collins,0FqbBSfKYpnhGWa5M1TxkY
6,Whitney,Whitney Houston,5Vdzprr5cOqXQo44eHeV7t
7,Simply The Best,Tina Turner,1ZFC0iOKUp4M16eHXVaeG4
8,Rocket Man (Deluxe Edition),Elton John,1vsWzNT3lzLt7RNLUdUVZB
9,Faith,George Michael,34K1Kvskt9arWy8E1Gz3Lw
10,Colour By Numbers,Culture Club,0VgBqlPrvUQsOqSwzA0fET
11,Make It Big,Wham!,0CpBTGH3Eewlbw35IclPdm
12,Come On Eileen / Dubious,Dexys Midnight Runners,6NzkNnLVrSumwkftZcNfkn
13,Celebrate (Greatest Hits),Simple Minds,7dKQCCQnnkqgRQFxKRDqkJ
14,Katrina & The Waves,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7
15,Super Trouper,ABBA,1nVUhbpkGwlTKxSIF6UJyM
16,Songs From The Big Chair,Tears For Fears,4yaypP8ytl2ghM2kiNSD8a
17,The Best Of The 80's,Cyndi Lauper,1WNKfSND9D7t30sBPDo1gr
18,9 To 5 And Odd Jobs,Dolly Parton,64Ky1tqKPfwxhJs6msphWd
19,Greatest Vol.1 - Belinda Carlisle,Belinda Carlisle,3fzHLg5RfRXzQlHlR4F7JG
20,The Game (2011 Remaster),Queen,58alCatewkjNm9IM1Ucj67
21,Ghost In The Machine (Remastered),The Police,5ghoXlpcDLKp3QNC2mzZ8A
22,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,4pox3k0CGuwwAknR9GtcoX
23,Mistaken Identity,Kim Carnes,3iMwQk5yE0UDDKbLCdcxZA
24,Footloose (15th Anniversary Collectors' Edition),Kenny Loggins,4FZ9s0pelFSliPWhVEWRcC
25,Born In The U.S.A.,Bruce Springsteen,0PMasrHdpaoIRuHuhHp72O
26,The Joshua Tree (Deluxe Edition Remastered),U2,2qKmY7yt0kXdzSQxYAu9eZ
27,Crowded House,Crowded House,1dJpgn1rqvvr4yyNYLEYBG
28,Flash Back Internacional,Journey,0xHBgcc8mjG1FILI9NPrg9
29,Dirty Dancing,Eric Carmen,03HVo5MVOWQ4kilTtF1Czg
30,No Protection,Starship,6FTFKwFEs3hwpnj68VKXg3
31,LOVE,Bill Medley,7KRJ8x3IpetRApZ8LGS2Pi
32,Cloud Nine,George Harrison,1nbq8GgaVdINI3PulXvPUq
33,The Very Best Of Bonnie Tyler,Bonnie Tyler,1CuFf5IslmlCno7DAFjrt9
34,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,2o2G49EPi4lua5zgxUKhLL
35,Purple Rain,Prince,2qSwmENEVYoacaxatupAaE
36,Voices,Daryl Hall & John Oates,4LniALl9S6YedTFdiZWOMS
37,Heart Of Stone,Cher,60Q5H9OJaMs0sFzImKDJ8s
38,We Are The World,U.S.A. For Africa,2O6gXGWFJcNrLYAqDINrDa
39,A Love Song Collection,Kenny Rogers,0AtWFXOdX6hnMIXRfpYoyS
40,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & The Blackhearts,555qwe1qUgLdee80TZ2CQt
