,song_title,artist_name,ids
41,Tango In the Night (Deluxe Edition),Fleetwood Mac,4AsXQ17Arq1cUVoa9dKJ3F
42,Slippery When Wet,Bon Jovi,0kBfgEilUFCMIQY5IOjG4t
43,Different Light,The Bangles,4hdp78YnsVLv4Hx5wPXpOp
44,Agent Provocateur,Foreigner,4oQhDQDKMeI6IMlwpXt3j8
45,Celebration (double disc version),Madonna,43lok9zd7BW5CoYkXZs7S0
46,The River,Bruce Springsteen,6YNIEeDWqC09YIWzhoSVLg
47,The Joshua Tree,U2,5vBZRYu2GLA65nfxBvG1a7
48,Aretha (Expanded Edition),George Michael,0U59W3AMVxEVDzHrEe8UFW
49,The Best Of Branigan,Laura Branigan,2bfvV9aRLN1BseXz4FbVnW
50,Like a Virgin (Reissue),Madonna,2IU9ftOgyRL2caQGWK1jjX
51,At The Close Of A Century,Stevie Wonder,04giHQ9zptJUHUvtIyxL9Z
52,The Definitive Collection,Lionel Richie,2Rd1gDdcoKvdtwKRwFk3SF
53,The Very Best Of The Human League,The Human League,3Vgpl5ixDyU5W7lVDLeFhi
54,Greatest Hits: 40 Trips Around The Sun,Toto,5ChYBNgy8o2ps5716s1GH2
55,Madonna,Madonna,1DWWb4Q39mp1T3NgyscowF
56,Parade - Music From The Motion Picture Under The Cherry Moon,Prince,54DjkEN3wdCQgfCTZ9WjdB
57,Pipes Of Peace (Deluxe Edition),Paul McCartney,5xl1zp2OXmjtOmskY71p8A
58,Dance Hits - 80s & 90s,The Weather Girls,0LvOMujcrO1z87O3vAOsJL
59,A New Flame (Expanded),Simply Red,0R8Pl54TXSwXWtAEVaP7ew
60,Chinese Wall,Philip Bailey,1F6HoOK69lMDIb3ujvwlTX
61,The Innocents,Erasure,0M2jouCUu3u6qUXSS2vgYI
62,What's Love Got To Do With It,Tina Turner,5HmYiJnUkFuciiqRrAAv4o
63,Slippery When Wet (Remastered),Bon Jovi,7pMFJnQzOnQXviU4FPpQAn
64,Sweet Dreams (Are Made Of This),Eurythmics,5jNDWA19BJbE24x1UUJGRY
65,Whenever You Need Somebody,Rick Astley,6N9PS4QXF1D0OWPk0Sxtb4
66,Non-Stop Erotic Cabaret,Soft Cell,3KFWViJ1wIHAdOVLFTVzjD
67,80 Totally 80s Hits,Dionne Warwick,3C20zCOVCXIb9xr0Z6wcCG
68,Mystery Girl,Roy Orbison,1UPcuqLY9PC99fQAqWgrSU
69,Working Class Dog,Rick Springfield,5MeeResNCJfmDmwmHX4w2D
70,Thriller 25 Super Deluxe Edition,Michael Jackson,1C2h7mLntPSeVYciMRTF4a
71,Brothers In Arms (Remastered),Dire Straits,1NF8WUbdC632SIwixiWrLh
72,The Best Of Cutting Crew,Cutting Crew,6P6YSjfWz53suf41Bqt9BH
73,The Platinum Collection,Fine Young Cannibals,5XMbe4Ie2mlpsKsrIx1x5r
74,From Time To Time - The Singles Collection,Paul Young,6bDQgC4mNcwz46wHKI6h2y
75,Knee Deep In The Hoopla,Starship,0I0eWeNKn0flG4FryxVjGx
76,Finest,The Proclaimers,7hPq9fDWwXPo1tT0oi3XcM
77,Look Sharp! (2009 Version),Roxette,1iI5YZkqNUV7VmrEi4uOP9
78,Gold - The Best Of Spandau Ballet,Spandau Ballet,5UUutTu9xlQnG9duYrIIW7
79,Playlist: Love,John Lennon,2Dn5rjTRp28Id3gTkrRnju
80,The Essential Bangles,The Bangles,4yaX6Gmlvo42PnGgBdhzGf
81,Invisible Touch,Genesis,5BDGtXKMQ6k267KX4PoGhP
82,Full Moon Fever,Tom Petty,7ihweYjA1ck66NTB4bujGl
83,Appetite For Destruction,Guns N' Roses,3I9Z1nDCL4E0cP62flcbI5
84,80s 100 Hits - Volume 2,Daryl Hall & John Oates,56QkBFCRUIGCMWnKKKheXC
85,Streets Of Fire,Dan Hartman,2FlyqGm8Ol64zNXwHlbF9l
86,I Love The '80s,Tiffany,3kUhdoIngon3As1jITSJHE
87,The Very Best Of,Don Henley,2yPVB4tLlnfBl8SgcX8qDv
88,Ice On Fire (Remastered With Bonus Tracks),Elton John,77IyyuuRV7IDN1ri7mBEuI
89,Graceland (25th Anniversary Deluxe Edition),Paul Simon,6WgGWYw6XXQyLTsWt7tXky
90,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),Berlin,6K8iDZW8jPaoiqSzFFebJA
91,Hysteria,Def Leppard,4uQc4RrlTsJQNj5YLOTg0E
92,Talking Back To The Night,Steve Winwood,67GJ1YfGLgqvcxifvKyOBU
93,Sleeping With The Past (Remastered with bonus tracks),Elton John,2eNwbtNeveYa2jhCc2cz7c
94,Forever Young,Alphaville,2256qKBSQdt53T5dz4Kdcs
95,So (Remastered),Peter Gabriel,0hQb1KT6L3iEYRkS5u8cjm
96,Hysteria,Def Leppard,1ja2qzCrh6bZykcojbZs82
