,song_title,artist_name,ids
0,Pet Sounds (Original Mono & Stereo Mix Versions),The Beach Boys,6GphKx2QAPRoVGWE9D7ou8
1,Abbey Road (Remastered),The Beatles,2Pqkn9Dq2DFtdfkKAeqgMd
2,Blowin' Your Mind!,Van Morrison,7dsWupQRlFuhG8FGiQAUjC
3,"The Birds, The Bees, & The Monkees",The Monkees,2Ov6zb7NfgDh3EXSIIWrb2
4,Summer of the 60s - Rock & Pop Classics,Sonny & Cher,3uQweQlV3pbbZI0eRQEH9M
5,Good Vibrations 40th Anniversary,The Beach Boys,2kgmLqUim1JdglABNIc5zn
6,Under The Boardwalk,The Drifters,7AgI5vniflcbh86Znea7yM
7,Bee Gees' 1st,Bee Gees,7vuSqubgqkVA95zgz0R44a
8,Gold (International Version),Four Tops,7AetomzAid1LhjAQSMxWIx
9,"Oh, Pretty Woman",Roy Orbison,2jTbcSPVTBRAoc3mHU6hy0
10,Rubber Soul (Remastered),The Beatles,50o7kf2wLwVmOTVYJOTplm
11,Oldies 60's,Frankie Valli,3y2gHDcfKpQG21SutK6ErH
12,The Man Who Invented Soul,Sam Cooke,3Seie4YIVLWtPw2hQrouNY
13,Gold,The Mamas & The Papas,5ayIe0HksgNNBuaBYvJpHb
14,The Ultimate Jackie Wilson,Jackie Wilson,1NXxURGbIYbunQfXmChHAl
15,Dock Of The Bay,Otis Redding,0kSkzG0sfuG4lRuFF5jWVr
16,The Best Of Don McLean,Don McLean,20Y9wHWIxNFvqplgHmqmUl
17,The Wonderful World of the 60's - 100 Hit Songs,The Foundations,2g6zIUb6GvP0k5KtLpWOEQ
18,Shut Down (Remastered),The Beach Boys,1G8AfOjrE0FO9w1gfemIy1
19,Album 1700,"Peter, Paul and Mary",3CDM5os6kA4y6mYYGukMIZ
20,Elvis (Fool),Elvis Presley,3gpHiNAmT5oXVxe6ewTGuN
21,Definitive Pop: The Everly Brothers,The Everly Brothers,7suOvu4ppoFddBOxpYkf2d
22,Bookends,Simon & Garfunkel,3bzgbgiytguTDnwzflAZr2
23,The Best Of,Johnny Nash,0aBgqFsQmUQGw8emDAjNt4
24,Turn! Turn! Turn!,The Byrds,3v0i9qyogPoQEQj2bG6Fmn
25,Elvis 30 #1 Hits,Elvis Presley,0QVoYzGd1p8Z3ohEaM0lsc
26,Save The Last Dance For Me,The Drifters,6sWL3HHXGkqlST0rfWXvBU
27,Bridge Over Troubled Water,Simon & Garfunkel,0JwHz5SSvpYWuuCNbtYZoV
28,Sweet Caroline,Neil Diamond,3aLKBtYt2B0XdLaTtBzF2n
29,1 (Remastered),The Beatles,7vEJAtP3KgKSpOHVgwm3Eh
30,Respect - The Very Best of,Aretha Franklin,3IadQMKTsvI9DhuE4UexFz
31,The Temptations Sing Smokey,The Temptations,7C4vMPQR8KcbZv4e2ZI0lc
32,Love And Life: The Very Best Of Diana Ross,The Supremes,6syCFYImxKPSf6G8Oh3bIq
33,United,Marvin Gaye,6sbZYwwQB15bt5TgkPFAdb
34,Walk Right Back: The Everly Brothers On Warner Bros. 1960-1969,The Everly Brothers,3O0QXvFFIzwahliBm6uzyw
35,Hit Soul,Dusty Springfield,6w3xidjxm3leF2aZpzM0KO
36,The Essential Van Morrison,Them,0RXzDyBEGd2EGQTmv8cxQa
37,The Best of Sam Cooke,Sam Cooke,2Dpw2XUAsBvuNdNLarNzz8
38,Do you Believe In Magic,The Lovin' Spoonful,5bx2ZHa0KUDMD5T0r9V030
39,The Very Best Of The Righteous Brothers - Unchained Melody,The Righteous Brothers,5CFmNamq1ceXn8RFJ9i7p6
40,"Signed, Sealed And Delivered",Stevie Wonder,5157OsVqMlDL6xDN3RiIoc
41,Mr. Tambourine Man,The Byrds,0pkrqPjeq9K5KD0hFqAKNa
42,Pearl (Legacy Edition),Janis Joplin,3j7nicLAWXM0Fb08q9XGyf
43,Rhythm Of The Rain,The Cascades,0JdsCjqgkPenYahT4NoE17
44,Where Did Our Love Go: 40th Anniversary Edition,The Supremes,3W2FhBKieLAcrS4e9SHtr6
45,Beatles For Sale (Remastered),The Beatles,1vANZV20H5B4Fk6yf7Ot9a
46,Lady Soul (With Bonus Selections),Aretha Franklin,7lEOKZaOpqP70UYqdLPejG
47,The World We Knew,Frank Sinatra,00vMwG6tYLzcwXgwvzlzyK
48,For Once In My Life,Stevie Wonder,59hSInYpAsa4we4TzDGaWT
49,A Whiter Shade Of Pale,Procol Harum,2WcfgOosdw0bN9g9twoA4K
50,Bayou Country (40th Anniversary Edition),Creedence Clearwater Revival,04CGA9H5xjYGnGMB8cLYRv
51,I Never Loved a Man the Way I Love You,Aretha Franklin,5WndWfzGwCkHzAbQXVkg2V
52,The Beatles 1967 - 1970 (Remastered),The Beatles,1cTeNkeINtXiaMLlashAKs
53,Wichita Lineman (Remastered),Glen Campbell,056tSaBR2WyN1nnmfIzkEE
54,If You Can Believe Your Eyes And Ears,The Mamas & The Papas,6zK7GV2JCqLknAdTeIhooB
55,Something Else By The Kinks (Bonus Track Edition),The Kinks,3M3JjcA8YcJDKl0ktMOPQW
56,Tonight's The Night,The Shirelles,1kZelGeyflOF29raK8dsYa
57,Intro: The Archies - EP,The Archies,0WhFJl87HYwJV5rjfMHAWO
58,Stand,Sly & The Family Stone,7iwS1r6JHYJe9xpPjzmWqD
59,The Exciting Wilson Pickett,Wilson Pickett,3fxWzXNMhTz01uShzMARnm
60,Elvis Forever: The Best of Elvis Presley,Elvis Presley,77pqYHQlKULhqr6EgiLL8b
61,Music From Big Pink (Expanded Edition),The Band,0nuPXgAXAfPmz9AW1PPrlk
62,This Is... 1969,The Hollies,2zz4gHHDI0UJlbLWgrH21u
63,The Ultimate Collection,Roy Orbison,4EpWWMjlTMRrZi0zLH1SwX
64,To Sir With Love,Lulu,37J4FeONwmD1Gl3PzvZGv3
65,Evergreen Vol.2,Stone Poneys,2FrEXjdS2mZO6sx6pA5MbY
66,Soul Men,Sam & Dave,1DThdjKvkvxYaqlDUnQGzK
67,Hello Louis - The Hit Years (1963-1969),Louis Armstrong,3IkAJdl6rQcSbnfpGr3MVt
68,Aerial Ballett,Harry Nilsson,4lQ72Rx2xpc7gGNoNJ4dlH
69,Tommy James And The Shondells: Anthology,Tommy James,5IL9KRDDd1L4m6f9SKS0yN
70,In The Groove,Marvin Gaye,36VMWZPLjg9rucvMxdA2Pz
71,Pure... '60s,Love Affair,3cceuam4ZfqSSC4uVchxvx
72,Collections,Neil Sedaka,7s1t3zA17RfNVhMYv2v52o
73,The Essential Dean Martin,Dean Martin,3bCD76GPTntFdGOT6KXgO3
74,This Old Heart Of Mine,The Isley Brothers,0TWtsGPvmioByGsm098Kh3
75,Moon River And Other Great Movie Themes,Andy Williams,1RLfn8e4cQvC0WsYJM6rh2
76,The Dimension Dolls,Little Eva,6zur7suYuG3M6dFXxUbGE9
77,The Ultimate Collection: Martha Reeves & The Vandellas,Martha Reeves & The Vandellas,0kvY6WYTWWJXQnesQRJZUZ
78,Happy Together,The Turtles,2pMxs38Y5A0mmHrcu3twvB
79,Ultimate Sinatra,Frank Sinatra,0Cx7IYEdG2T70z9xFknhDT
80,60's Soul Classics,Otis Redding,5GowgI4o4sQJDofJ5GIIec
81,Wall of Sound: The Very Best of Phil Spector 1961-1966,The Crystals,020ep2kmPRC8tgh95hMP2i
82,Knock On Wood,Eddie Floyd,07ojYfe9B08p7nmOL2kgNF
83,Hot Rocks (1964-1971),The Rolling Stones,0aqZJlugIkTUWW1sa4BANp
84,Groovin' with Manfred Mann,Manfred Mann,24uIWywoZqArplgomqtvfW
85,The Complete Laurie Singles,Dion,4Tp8u8dR0AuOWZDb9npiqI
86,The Best of The Kingsmen,The Kingsmen,2SMBIc9VqCmLvWAd9srlSx
87,Full Metal Jacket (Original Motion Picture Soundtrack),The Dixie Cups,3tpJtzZm4Urb0n2ITN5mwF
88,"Crosby, Stills & Nash [with Bonus Tracks]","Crosby, Stills & Nash",6vUWpE8qciYHOhf7mgaGny
89,Green River (40th Anniversary Edition),Creedence Clearwater Revival,4DafLlExwUPJ20vHCHrUEI
