,song_title,artist_name,ids
0,The Definitive 60's (sixties),Roy Orbison,4B5tAsWRbuik1yAOzdZcuX
1,Don't Play That Song,Ben E. King,6IS14iMcYkeXYcG5MlMMbU
2,Under The Boardwalk,The Drifters,7AgI5vniflcbh86Znea7yM
3,The Ultimate Bobby Darin,Bobby Darin,65okcRJHUVUrFiDG3I1Sz8
4,The Definitive Collection,Four Tops,348K6QH725oW2W78lvSy1Y
5,The Temptations Sing Smokey,The Temptations,5H2rffw6MNKGWVKBNWNA4S
6,Fabulous Fifties Nostalgia Vol 5,The Everly Brothers,5Bi3wDUlDlfKUYb5S5kcY6
7,The Legendary Masters Series,Bobby Vee,434hmQ0GM7ynBeMZz5BSQ3
8,Greatest Hits: Walking To New Orleans,Fats Domino,0SFClXD5CAnZ6vzrcTzXgQ
9,The Reprise Years,Dean Martin,6anBFHbt3PaNwDKWbsVkzG
10,Collections,Neil Sedaka,7s1t3zA17RfNVhMYv2v52o
11,"""All I Do Is Dream"" Everly Brothers",The Everly Brothers,6c6lTSg4kIOMQ52CkTTUEx
12,That's All,Bobby Darin,5MsJK0kqiYIJDmd3cjkGMn
13,Fats Domino Swings,Fats Domino,3vte37u7rIAmMZJwNyJSjf
14,Rave On: The Very Best Of …,The Crickets,4FDsAwhD5dXXEkcUdG5I59
15,Will You Love Me Tomorrow? The Anthology,The Shirelles,0P50pSnk73fmyFAeqrQUmA
16,The Very Best of The Everly Brothers,The Everly Brothers,4lmdDGcU5u1xk3GCcVJSYT
17,The Platters Golden Hits,The Platters,7l3vhUqMYbu62TIKSocf4B
18,Presenting the Fabulous Ronettes Featuring Veronica,The Ronettes,0CoNLgOwcZGBUSwd9fAZuy
19,Greatest Love Songs,Ricky Nelson,6B2Bk4rcGuYVjlMukQHJJL
20,Doogal,Doogal,2ILMYokXxVNgm0x8VlOjw2
21,Top 100 Hits - Rock And Roll,The Everly Brothers,2YVKgCKM0IgHxxmLzWutm3
22,Greatest Hits,Marvin Gaye,1xwbGxxk28Lqwz3rTHnPhv
23,The Man Who Invented Soul,Sam Cooke,3Seie4YIVLWtPw2hQrouNY
24,The Very Best Of Paul Anka,Paul Anka,75zBkbUSaFzpyPa1mBDjON
25,The Chiffons Absolutetly The Best!,The Chiffons,1WvYZcG9v3WzzNNkwpreGq
26,Presenting Dion And The Belmonts,Dion & The Belmonts,6z1hD32vUCvJZVjVZMv7el
27,The Best Of Rick Nelson,Ricky Nelson,607RtLzi6P55QVhosSAGwQ
28,Girls! Girls! Girls!,Elvis Presley,6wH0jlf2q1yCprUO5XWSdz
29,Forever in Love,Dean Martin,5G0DaDS3kbsDulknFND6eo
30,Da Doo Ron Ron: The Very Best of The Crystals,The Crystals,11ho9FxQbJjMbQn1P1yWpm
31,Buddy Holly,Buddy Holly,5XWRJhJ3Uc5ndutOMtjSkf
32,Mad Men: A Musical Companion (1960-1965),Dusty Springfield,5zLIEvoMI7H5c3TmS4afrt
33,The Very Best Of The Marcels,The Marcels,3C7NfD2eij939ZtxhoRjLq
34,Runaround Sue,Dion,20vUqyMzF8fgQhkdLdtzi7
35,Superstar Files (75 Original Recordings),Doris Day,2F9ElsNy5OyR08AJFRITYv
36,Playlist: The Best Of Little Eva,Little Eva,4hiDQjQltfdWHqAdiQqe7n
37,Remember When?,The Platters,3hf24dCfmmDihusVyBLliZ
38,The Best Of Fats Domino,Fats Domino,0aJTqumjo0IA5saTW58Xzm
39,"Elvis' Gold Records, Vol. 4",Elvis Presley,3ufobt4J5vaT3z7lgUub6a
