,song_title,artist_name,ids
40,The Very Best Of Connie Francis - Connie 21 Biggest Hits,Connie Francis,4Y0FGsHJJbexHT2LPzUGFU
41,The Very Best Of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,0NUEQILaBzavnzcMEs4buZ
42,The Essential Jim Reeves,Jim Reeves,158F4r9awKr4bs7X5E49JA
43,The Very Best Of Buddy Holly,Buddy Holly,4ufhEXGkugwUgZ2fOHx5ts
44,The Very Best of the Spaniels,The Spaniels,1EmuK9fr4cSt3hys4l1Uha
45,Rockin' Gals Of The 1950's,Patti Page,27lZJLd8V0j7jQdmQ7ZNx4
46,Because I Love Him,The Marvelettes,4KtmpO75zMHm4OGWuYGTzR
47,Sam Cooke,Sam Cooke,2y8HUdUGjoCEVhJtivTPjC
48,Elvis' Golden Records,Elvis Presley,0C3t1htEDTFKcg7F2rNbek
49,Goodnight My Love,Ray Peterson,42FHlMA9rY1J5AVfQ7No14
50,The Essential Collection,The Righteous Brothers,3JyLurttPB5NgQ0WRnhnkK
51,Dreamboats & Petticoats Presents: Petticoat Collection (Warner Version),Patsy Cline,6vvUqcQ7KAqvet9FQlIgJy
52,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,4kca7vXd1Wo5GE2DMafvMc
53,At Abbey Road,Manfred Mann,4Iizap6rgpM8EWv8FW8b0b
54,Atlantic 60th: At The Hop,The Chords,6LFNpN228ffJyxBHQx1a9H
55,The Best Of Chuck Berry,Chuck Berry,3j70UxCvWwoWDsjm1TbWKj
56,Johnny Burnette's Hits And Other Favorites,Johnny Burnette,0cI6nOxHCXbkbVH9BPcI14
57,Ella & Friends,Ella Fitzgerald,5PwtIbLxUKAgPU05eqT6ja
58,The Complete 1950's Masters - Jerry Lee Lewis,Jerry Lee Lewis,6msW9XLguF1wBVT0TyroP8
59,The Best Of The Platters,The Platters,48VpGQRP9z2Nhw2iq1uyaN
60,Frankie Lymon & The Teenagers Greatest Hits,Frankie Lymon & The Teenagers,4XtIZdH7Q9CTW31BKo6KkC
61,Let Me Belong To You (Expanded Edition),Brian Hyland,4b8FFA2mCSJvRYgtwizUmy
62,Rockin' Robin,Bobby Day,4T6nhb9QQpGzLiWkC6bG7y
63,Original Album Series,Ronnie Hawkins,595jrNY2LLmnxwdLTl6Mbw
64,Berry Is On Top,Chuck Berry,7qIlDCv2QNNtCrauUzPPP2
65,Teen Idol Best,Johnny Tillotson,1bPWjd3GVoApHWGUYO8ALm
66,20 Golden Greats: Buddy Holly Lives,Buddy Holly,3oU3OPTKI0JfsVunkeODJE
67,This Is Dean Martin,Dean Martin,7dfnxOYh1XR9AKqCcGckGX
68,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,53Z6bXyBJ7tlRtMettF6Uq
