,count
intro,7
if,89
you,887
want,154
it,323
to,495
be,178
good,50
girl,57
get,126
yourself,18
a,357
bad,29
boy,11
yeah,108
i,790
like,134
this,114
ha,21
bridge,19
wild,5
got,74
know,155
just,133
who,33
dial,1
baby,136
that's,52
me,290
really,58
hot,1
find,18
someone,9
hits,1
the,612
spot,1
honey,7
oh,66
yes,14
pre-chorus,27
and,451
done,12
babe,6
one,79
who's,7
going,47
on,162
make,61
last,14
ask,13
he's,16
best,16
tonight,9
it's,174
chorus,88
could,47
would,43
should,13
innovative,1
better,21
creative,1
jamming,1
somebody,14
slamming,1
heh,5
now,97
listen,11
these,8
are,76
things,35
your,184
mama,1
shouldn't,3
show,20
how,61
so,154
won't,18
let,32
right,14
now?,11
ooh,47
outro,16
diane,6
sawyer,170
that,231
as,46
we,88
sit,6
here,32
talk,12
...,9
whitney,20
houston,206
yeah.,20
everybody,21
watching,2
.,30
is,156
staring,2
at,47
physically.,2
they're,11
saying,6
thin,4
she,44
many,11
bones,6
can,88
see?,3
sick?,2
sick,4
she?,2
i'm,153
not,115
diane.,2
am,17
sick.,6
let's,19
straight.,8
okay?,4
i've,37
always,48
been,50
girl.,2
fat,4
ever.,4
michael,2
jackson,2
vh-1,2
appearance.,2
picture.,2
well,33
shot.,2
may,23
shot,2
but,175
real.,4
mean,12
bones.,2
my,210
"5'7""",2
thin.,6
understand,9
what,101
mean.,2
no?,2
tell,42
me.,29
do,222
know?,18
scary,4
believe,27
feel.,2
that.,14
no,104
know.,12
thank,5
you.,11
anorexia?,2
way.,8
they've,2
written,2
it.,22
bulimia.,2
because,30
of,189
drugs.,4
no.,22
mm,6
mm.,4
i'll,58
grant,2
partied.,4
there,34
were,23
times,8
when,62
was,90
through,31
lot,6
emotional,4
stress,4
eating,2
habits,2
awful.,2
dying,4
crack,21
rehab,7
fails.,2
first,10
all,111
thing,19
cheap.,2
too,38
much,24
money,13
ever,28
smoke,5
crack.,4
ok?,2
don't,125
whack.,2
sawyercould,2
see,48
reaction,4
everybody's,6
faces,3
sang?,2
used,7
diane?,2
close,19
eyes,19
i'd,23
sing.,6
afraid,21
then,33
open,8
people,41
call,49
holy,2
ghost,2
fired,4
out.,4
they,53
in,231
such,4
spirit,7
praise,2
think,70
knew,7
an,22
infectious,2
god,13
had,28
given,4
never,62
forget.,4
sang,3
"""home""",2
song,9
"""home.""",2
'it,2
wasn't,11
about,49
drug',2
drug.,2
stay,6
room,8
for,160
days,9
trying,9
together,16
next,3
phase,2
be.,4
mid-'90s,2
said,41
"""i",8
feel,50
"old.""",2
world,23
lifetime,2
stuff.,4
any,7
fun,9
anymore.,4
enjoy,3
do.,4
love,138
sing,2
because?,2
different,8
industry.,2
money.,2
fast.,2
you're,111
tough,5
enough,16
business?,2
enough.,2
quick,4
answer.,2
lasted,3
long.,2
you've,21
tough.,2
cancellations.,2
did,33
many?,4
look,16
record,2
concerts,2
canceled,2
17,2
years,10
career,2
add,2
