,count
verse-1,1
take,70
all,163
my,312
money,15
from,43
me,419
nothing,53
matters,18
but,178
the,764
girl,97
recognition,1
fame,2
even,19
name,8
every,16
stitch,1
of,190
clothes,3
that,189
i,764
own,14
and,442
completely,1
naked,1
will,51
walk,20
to,418
her,26
until,4
you,908
can't,81
as,34
long,12
don't,130
touch,4
baby,100
said,25
like,151
think,30
being,11
by,19
myself,12
your,464
standing,2
next,9
need,52
else,19
not,109
yes,7
chorus,136
tell,69
verse-2,1
seconds,2
minutes,1
hours,1
precious,2
time,33
'cause,61
skill,1
away,23
words,26
say,48
reason,6
in,305
rhyme,1
excuse,1
lord,3
mean,19
interrupt,1
stop,55
what,72
doing,5
make,79
'em,33
world,55
if,127
could,33
oh,177
please,15
just,203
leave,28
here,44
with,98
verse-3,1
ain't,58
on,257
this,98
whole,16
wide,8
do,138
without,45
except,1
for,87
no,187
doubt,8
air,88
breathe,30
is,112
more,22
important,1
than,24
repeats,1
shawty's,8
a,415
melody,11
head,22
keep,66
out,68
got,92
singin',10
na-na-na-na,8
everyday,10
it's,106
ipod,8
stuck,11
replay,9
replay-ay-ay-ay,7
ayy!,7
j-j-j-jr,1
verse,127
1,59
remember,7
first,19
we,128
met?,1
was,88
at,34
mall,1
wit',2
yo',1
friend,3
scared,6
approach,1
ya,12
then,25
came,4
closer,5
hopin',1
would,46
give,40
chance,13
who,27
have,45
ever,26
knew,6
be,171
friends?,2
we're,17
real,21
worldwide,2
breaking,6
rules,3
she,31
song,21
played,1
again,29
pre-chorus,42
somethin',2
off,11
poster,4
dime,3
they,53
gun,4
holster,2
she's,9
running,4
through,14
mind,25
day,21
ayy,16
2,62
see,48
been,49
around,30
globe,1
once,5
did,16
talk,22
phone,9
night,12
'til,8
morn',1
really,13
changed,5
life,36
doin',1
things,24
never,55
i'm,376
kitchen,1
cookin',1
likes,1
someday,1
wanna,42
wife,3
bridge,39
can,112
write,8
symphony,2
one,94
fill,7
fantasies,2
so,146
come,68
let's,22
sing,7
na,2
na-na,10
na-naa,2
shawty,1
now,79
here's,2
thing,19
started,4
friends,6
it,339
cool,7
pretend,1
yeah,156
since,14
gone,20
dedicated,1
took,5
wasn't,3
till,5
