,count
chorus,15
don't,35
play,6
it,39
no,21
more,3
that,52
song,4
for,17
me,63
brings,1
back,2
memories,1
of,46
days,2
i,162
once,5
knew,9
the,180
spent,1
with,17
you,149
oh,19
let,12
fills,1
my,57
heart,18
pain,3
please,2
stop,5
right,3
away,15
remember,11
just-a,1
what,24
said,12
darling,15
love,52
know,31
lied,14
liedwhoa,2
on,36
our,3
first,2
date,1
kissed,2
and,119
walked,1
were,7
only,11
seventeen,1
never,9
thought,6
you'd,1
act,3
so,20
mean,1
but,34
baby,13
yes,36
mmm,2
whoa,7
darlin',1
go,19
hurt,1
do,15
will,8
told,3
loved,3
cared,1
"""i'll",1
almost,2
anywhere,1
verse,23
1,6
when,28
sun,6
beats,1
down,20
burns,1
tar,1
up,11
roof,1
your,37
shoes,1
get,21
hot,2
wish,2
tired,1
feet,3
fireproof,1
under,18
boardwalk,21
by,6
sea,19
a,84
blanket,3
is,35
where,3
i'll,5
be,36
out,29
we'll,6
havin',3
some,4
fun,5
people,6
walking,5
above,5
making,3
2,4
from,17
park,1
hear,8
happy,1
sound,1
carousel,1
can,26
taste,3
dogs,1
french,1
fries,1
they,6
sell,1
yeah,16
bridge,3
falling,5
in,58
if,13
you're,8
feeling,6
low,2
cause,9
left,2
town,3
then,7
set,7
straight,4
chick's,2
flown,2
coop,2
knocked,2
blues,4
loop,2
circulate,10
have,14
put,6
run,2
you'll,13
find,2
living's,2
great,2
just,18
pretend,2
king,2
balance,2
world,12
it's,31
string,2
there,10
are,24
plenty,4
fish,17
deep,5
blue,4
shopping,2
around,8
mate,2
hurry,2
waste,3
time,14
come,6
water's,2
fine,5
star,4
spangled,4
flags,4
unfurled,4
underestimate,4
this,26
advice,5
give,11
means,4
wake,4
live,4
pebbles,2
beach,2
gather,2
few,2
cat's,2
meow,2
start,3
rock,15
collection,2
now,17
ah,11
full,2
chicks,2
mix,2
life's,2
worth,2
living,3
kicks,2
dream,27
want,10
arms,3
all,40
charms,1
whenever,4
to,67
feel,4
night,10
need,8
hold,3
tight,4
make,16
mine,8
lips,4
wine,2
anytime,2
or,3
day,8
trouble,2
gee,2
whiz,2
i’m,2
dreamin’,2
life,10
could,11
die,3
why,7
lasts,2
forever,5
promise,2
