,count
rappeurs,1
ils,2
ont,2
dû,1
se,1
tromper,1
toute,1
facon,1
baky,1
l'a,1
qu'ils,1
saisi,1
heures,1
studio,1
j'ressors,1
l'ai,1
main,1
sac,1
t-il,1
assumer,1
malheur,1
uns,1
bonheur,1
autres,1
il,1
détourne,1
3,12
têtes,1
venant,1
ton,2
réseau,1
écrase,1
ta,1
te-tê,1
même,1
raison,1
remplir,1
en,1
pensent,1
qu'une,1
impression,1
22,1
décembre,1
mc,1
sont,1
tous,1
sous,1
tension,1
heart's,1
fire,9
wild,2
everything,9
lifetime,1
promises,1
speak,3
language,1
wrong,3
make,13
strong,2
simply,3
best,13
better,23
met,6
stuck,4
hang,5
word,5
tear,4
apart?,4
dead,5
washed,2
arms,4
place,5
no!,3
bridge,10
each,4
leave,2
losing,2
control,6
walking,9
even,1
breakdown,1
instrumental,2
nice,1
everybody,1
has,6
gotta',13
twice,1
games,2
played,2
emotion,1
pick,1
floor,4
comes,8
without,6
devotion,1
takes,8
showin',1
'cause,16
askin',1
"""please",1
"away""",1
givin',1
blues,1
maybe,2
help,1
yesterday,1
another,10
tied,1
loverboy,1
rules,2
river,14
becomes,2
ocean,2
throw,5
reconsider,2
foolish,2
notion,3
somethin',8
ooh,17
looked,1
felt,10
spirit,2
demanding,2
smile,2
took,5
speaking,2
tongues,2
float,2
rivers,2
past,2
remind,2
colours,3
chose,3
told,2
lies,3
comprimise,1
blinded,1
fate,1
frida,20
agnetha,10
super,18
trouper,18
beams,10
blind,12
blue,14
somewhere,8
crowd,11
sick,2
tired,4
called,2
last,10
glasgow,2
wishing,4
show,11
pre-chorus,19
agentha,4
benny,12
björn,12
imagine,3
glad,4
coming,6
suddenly,4
different,7
stage,5
lights,8
shining,8
sun,16
sup-p-per,32
troup-p-per,32
smiling,8
fun,11
feeling,38
number,11
facing,2
twenty,2
thousand,2
friends,4
lonely?,2
success,2
ends,2
still,11
moments,2
you'll,12
soon,4
changing,4
arrive,2
sight,2
prove,3
tight,2
much,7
were,13
gave,2
money,2
after,3
train,1
strange,1
didn't,1
decency,1
sheets,1
use,3
wear,2
clothes,2
fine,2
reason,2
goin',4
guy,3
care,6
did,8
kinda,2
sorta,1
friend,2
cared,1
fuss,1
sleepin',1
two,1
wanted,8
spend,21
following,1
whenever,4
violet!,2
violet,10
hard,11
star,2
others,1
may,7
glow,1
stardust,1
their,1
path,1
i'd,5
shine,2
hollywood,1
queen,1
arrived,1
scene,1
sensation,1
toast,1
town,7
boys,11
fabulous!,1
wallowing,1
minute,5
down!,1
most,2
beautiful,3
glamorous,3
brilliant,3
amorous,1
female,2
ceo,2
whole,2
wide,4
wow!,1
ship,2
finally,2
came,1
ahoy!,1
smooth,1
sailin',1
everyone's,2
new,4
pin-up,1
respected,1
class,2
kiss,1
ass,2
first,4
since,2
employed,1
gal's,1
boys!,7
am'rous,2
world!,1
landed,1
lap,1
crap,1
violet's,2
huh!,1
violet's...,2
the...,5
wow,1
razzle,1
dazzle,1
frazzle,1
competing,1
greatest,1
joy!,1
'em,2
girl!,1
job,3
it!,1
woman,2
proud,1
gal,2
thinkin',1
restless,1
changed,2
telephone,3
callin',3
mistaken,6
identity,6
waiting,6
holding,3
songs,3
footsteps,1
sayin',2
its,1
try,5
mistake,1
born,18
man's,1
dog,2
beat,5
'til,1
half,1
life,25
coverin',1
u.s.a,17
hometown,1
jam,1
put,6
rifle,1
sent,1
foreign,1
land,2
kill,1
yellow,2
refinery,2
hiring,1
says,4
"""son",2
"me""",1
went,4
v.a.,1
"understand""",1
4,2
brother,1
khe,1
sanh,1
viet,1
cong,1
they're,2
gone,4
saigon,1
picture,2
5,2
shadow,1
penitentiary,1
gas,1
fires,1
ten,2
years,1
burning,3
road,3
nowhere,2
daddy,6
rocking,1
freedom,2
catch,1
deluge,1
paper,2
cup,1
battle,1
ahead,2
many,6
battles,1
traveling,1
build,3
wall,15
towing,1
car,2
hole,1
roof,3
possessions,1
causing,1
suspicion,1
proof,1
tales,3
war,1
waste,1
turn,7
tv,1
page,2
drum,1
counting,1
steps,1
shadows,1
barely,1
clearing,1
liberation,1
release,1
outro,11
swear,5
owe,8
found,5
saw,1
writing,1
magical,7
fantasy,2
passion,5
disguise,1
secretly,1
other's,1
seem,3
urgency,1
thing,6
enough,1
afraid,1
searched,2
till,2
sunrise,3
doesn't,3
morning,2
cloudburst,1
warning,1
gray,4
pass,9
sunset,1
evening,1
blow,7
clouds,2
post-chorus,1
none,1
life's,1
