,count
you're,73
not,46
her,28
though,11
i,636
try,10
to,363
see,49
you,911
differently,3
tow,3
the,483
line,7
i'm,212
searching,3
for,85
what,120
used,32
be,143
mine,10
saw,11
your,199
eyes,9
and,342
then,38
staring,3
back,51
at,25
me,363
will,54
find,11
another,8
one,44
who,28
suited,3
as,29
well,9
i've,15
moved,10
far,10
away,53
from,56
want,98
here,34
beside,7
dear,8
but,91
things,27
aren't,6
clear,6
when,140
we,308
never,100
even,44
tried,10
talked,9
thought,13
in,274
long,23
run,25
whenever,25
it,250
was,76
painful,9
i'd,18
miss,20
she,33
hers,3
all,138
that's,18
between,6
if,69
would,35
cry,19
shelter,3
keep,30
darkness,4
that,192
clearoh,3
don't,156
drop,10
it's,66
my,262
turn,15
cut,7
deep,8
might,14
learn,7
scar,3
leave,14
like,151
a,250
sunburn,6
scarred,3
left,25
verse,91
1,57
you've,5
got,55
hold,7
on,196
know,170
power,1
stand,8
hundred,3
feet,3
fall,6
around,35
ya,43
show,37
an,8
open,7
door,1
go,118
slam,1
can't,42
take,63
anymore,3
chorus,125
saying,4
baby,73
please,25
have,44
mercy,17
easy,6
heart,32
mean,4
hurt,11
tearing,3
apart,4
heart?,4
2,53
drive,6
through,16
night,31
just,87
near,3
testify,4
tell,24
crazy,5
asking,1
lot,4
honest,1
with,99
pride,2
is,103
me?,12
puppet,2
strings,1
good,23
intentions,2
need,45
set,6
free,11
bridge,33
consuming,2
air,23
inside,21
lungs,3
ripping,2
skin,16
off,15
bones,2
prepared,3
sacrifice,2
life,36
gladly,2
do,139
twice,4
oh,162
string,1
begging,6
ooh,48
met,12
dark,8
lit,1
up,103
made,11
feel,24
enough,3
danced,1
drank,1
too,36
much,11
held,1
hair,2
were,68
throwing,1
pre-chorus,61
smiled,1
over,45
shoulder,5
minute,5
stone,1
cold,10
sober,1
pulled,1
closer,6
chest,1
asked,1
stay,34
said,15
already,3
told,10
think,21
should,2
get,60
some,12
rest,3
knew,18
loved,5
you'd,3
'cause,39
played,1
cool,3
scared,4
of,151
letting,2
needed,2
showed,3
wanna,92
until,4
we're,30
grey,3
old,8
say,84
won't,35
let,46
i'll,65
wake,4
breakfast,1
bed,9
bring,10
coffee,1
kiss,10
head,22
kids,1
school,2
wave,1
them,30
goodbye,29
thank,6
lucky,1
stars,5
looked,1
forget,15
older,18
dance,50
right,37
now,94
look,19
beautiful,2
ever,40
swear,7
everyday,1
you'll,6
better,33
make,31
this,82
way,34
somehow,1
so,193
love,142
hope,10
darling,4
more,33
than,14
worth,2
its,4
weight,1
gold,1
we've,2
come,80
how,42
grown,1
live,5
ghosts,1
always,26
there,21
most,7
3,8
gonna,33
till,3
give,29
out,61
promise,5
'til,27
death,2
part,3
our,33
vows,1
wrote,1
song,37
everybody,5
knows,5
outro,23
life's,1
about,15
many,6
hopes,1
dreams,3
sticking,1
ups,1
downs,1
hard,15
accept,1
narrative,1
modern,1
world,18
change,9
view,2
start,11
taking,21
care,19
you...,1
...because,1
us,22
you...and,1
can,93
each,2
other,2
alive,3
chaos,1
clam,1
rock,10
bottom,1
intro,14
tonight,31
higher,2
throw,3
hands,11
sky,9
let's,46
party,22
players,6
put,30
yo',2
pinky,10
rings,10
moon,13
girls,43
y'all,14
trying,17
do?,11
24,26
karat,26
magic,22
toe,10
player,16
uh,23
out!,6
pop,4
time,59
guess,8
who's,12
again?,2
they,46
know?,6
'em,7
bet,12
soon,6
walk,11
showin',2
wearing,2
cuban,2
links,3
designer,2
minks,2
inglewood's,2
finest,2
shoes,2
whoop,8
ya'self,2
known,2
color,2
red,3
blues,2
shit,10
dangerous,13
man,28
money,9
pocket,5
pretty,6
waking,4
rocket,4
why,31
mad?,4
fix,4
face,10
ain't,44
fault,4
jocking,4
only,32
second,6
hustlas,4
gangstas,4
bad,21
bitches,2
ugly,2
ass,5
friends,8
haha,2
preach?,4
gotta,12
pimp,2
first,14
sip,4
dip,4
spend,3
fresh,3
blame,4
jesus,2
hashtag,3
blessed,2
ready,3
hey,60
wooh,2
everywhere,7
watch,7
break,5
down,78
what's,3
sound?,2
fight,5
feeling,24
invite,2
tracklist1.,7
call,13
2.,14
dangerously,2
3.,14
marvin,2
gaye,2
ft.,9
meghan,2
trainor,2
4.,14
losing,2
mind,28
5.,14
talk,11
selena,2
gomez,2
6.,14
gospel,2
7.,14
8.,14
9.,14
there's,41
10.,14
suffer,2
11.,14
are,53
shy,2
carter,2
12.,14
type,4
13.,13
river,5
14.,13
does,9
15.,9
again,27
album,16
cover,15
hmm,21
nobody,43
sees,1
soul,7
no,95
weak,1
nights,6
pray,2
home,68
praying,4
lord,3
hardly,3
sleep,4
alone,13
cause,17
living,6
own,18
sent,1
messages,1
reply,1
figure,1
am,8
missing,7
babe?,1
singing,22
tracklist,6
1.,7
best,19
story,3
diana,1
midnight,1
memories,2
where,18
belong,1
strong,4
happily,1
little,5
black,2
dress,2
something,12
great,1
white,1
lies,2
words,8
there?,2
16.,8
he,19
17.,4
18.,4
half,1
art,8
deluxe,10
"""best",1
"ever""",1
"""story",1
"life""",1
"""midnight",1
"memories""",1
"""you",2
"i""",1
somebody,12
new,14
friend,10
can?,1
big,4
town,6
she's,3
yeah,159
stupid,1
myself,4
corner,7
watching,7
giving,4
guy,4
oooh,2
dancing,10
i’m,9
messed,1
stilettos,1
broken,4
bottles,1
spinning,1
circles,1
nah,2
still,17
lights,8
music,2
dies,2
standing,3
came,6
ohh,1
oh​,1
waiting,1
pass,1
by,40
winds,1
could,19
thousand,4
reasons,3
grow,5
forever,9
young,15
sofa,2
drinking,3
rum,3
cola,2
underneath,14
rising,2
sun,5
going,11
clock,6
ticking,6
wait,3
post-chorus,22
admit,2
been,21
million,2
hello,1
send,1
lover,4
remedy,1
water,4
under,2
lea,1
years,4
ago,2
ask,4
sweetest,2
devotion,2
target,2
edition,14
lay,11
quavo,9
huncho,3
yo,7
liam,9
payne,8
keeping,1
self,3
had,25
prize,1
anybody,1
else,8
hit,11
girl,24
health,1
cards,1
dealt,1
same,1
well?,1
1d,2
people,8
thing,20
changing,2
fun,3
rowdy,2
coke,2
bacardi,2
sippin',2
lightly,2
f1,2
ferrari,2
6,2
gear,2
speed,2
body,26
grinds,2
ed,2
sheeran,2
music's,6
loud,10
c'mon,8
strip,22
crowd,5
swing,4
round,3
ground,15
since,7
day,34
swept,1
opened,1
threw,3
key,2
'bout,137
gon',4
thug,1
word,2
buzz,1
five,5
shots,3
pull,11
shut,1
club,3
took,2
popped,1
seal,1
slow,5
closed,2
skrrt,2
anything,5
goes,10
mebaby,1
ayy,1
nothing,22
permission,3
decision,3
test,3
limits,3
business,3
god,21
witness,3
finished,3
control,5
kind,4
moment,8
locked,4
loaded,3
completely,3
focused,3
stop,25
boy,53
somethin',131
makes,21
woman,12
shouldn't,12
prove,3
bulletproof,3
doing,9
movin',3
introducing,3
savor,4
save,5
later,3
taste,3
flavor,3
taker,3
giver,3
nature,3
danger,4
refrain,8
instrumental,3
ima,6
lawn,4
bone,3
theres,7
la,53
waited,1
six,1
morning,2
4,3
work,2
calls,3
text,1
someones,1
next,8
ex,2
ive,2
sitting,1
reruns,1
betty,1
whites,1
lookin,1
called,5
every,20
single,11
person,1
dont,1
im,4
believe,8
pictures,4
wall,3
bathroom,5
